County,School Type,School District or Name,MMR Vaccination Rate,Age Group,metric,school size 10,school size 25,school size 100,school size 250,school size 500,school size 750,school size 1000,school size 1500,school size 2500,school size 5000,average_school_size,metric_average_school_size
harris,Public ISD,HARMONY PUBLIC SCHOOLS - HOUSTON WEST,98,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0.0015,0.0005,0.0025,1090,0
harris,Public ISD,HARMONY PUBLIC SCHOOLS - HOUSTON WEST,98,Kindergarten,total_infected_mean,1,1,1.1265,1.2535,1.357,1.3905,1.3285,1.413,1.4305,1.4195,1090,1.34371
mclennan,Public ISD,HARMONY PUBLIC SCHOOLS - NORTH TEXAS,93.6,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.068,0.1245,0.134,0.161,0.1555,0.175,0.1955,690,0.13172
mclennan,Public ISD,HARMONY PUBLIC SCHOOLS - NORTH TEXAS,93.6,Kindergarten,total_infected_mean,1,1.3855,2.377,3.056,3.8765,4.2015,5.132,5.5405,7.2115,8.9595,690,4.1235
bexar,Public ISD,HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,97.8,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0.0005,0.0025,0.001,0.002,534,0
bexar,Public ISD,HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,97.8,Kindergarten,total_infected_mean,1,1,1.3205,1.351,1.4065,1.419,1.404,1.474,1.4435,1.5025,534,1.4082
el paso,Public ISD,HARMONY PUBLIC SCHOOLS - WEST TEXAS,97.3,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0.0005,0.002,0.0035,0.0055,0.009,0.0075,812,0.002372
el paso,Public ISD,HARMONY PUBLIC SCHOOLS - WEST TEXAS,97.3,Kindergarten,total_infected_mean,1,1,1.2945,1.457,1.5185,1.602,1.621,1.6515,1.727,1.7285,812,1.606712
gillespie,Public ISD,HARPER ISD,94.9,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0155,0.0575,0.0745,0.0775,0.092,0.092,0.099,197,0
gillespie,Public ISD,HARPER ISD,94.9,Kindergarten,total_infected_mean,1,1.391,1.9535,2.3475,2.7985,3.046,3.1885,3.4065,3.628,3.974,197,2.208286667
castro,Public ISD,HART ISD,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,206,0
castro,Public ISD,HART ISD,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,206,1
hartley,Public ISD,HARTLEY ISD,88.9,Kindergarten,probability_exceeding_10_total_cases,0,0,0.2165,0.3915,0.415,0.4405,0.431,0.4425,0.4405,0.429,236,0.375166667
hartley,Public ISD,HARTLEY ISD,88.9,Kindergarten,total_infected_mean,1.6195,1.9185,4.833,9.0685,16.051,24.0665,30.1085,46.6675,75.002,145.121,236,8.673186667
titus,Public ISD,HARTS BLUFF ISD,98.6,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,297,0
titus,Public ISD,HARTS BLUFF ISD,98.6,Kindergarten,total_infected_mean,1,1,1.141,1.1965,1.216,1.268,1.229,1.239,1.246,1.257,297,1.200166
haskell,Public ISD,HASKELL CISD,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,181,0
haskell,Public ISD,HASKELL CISD,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,181,1
wood,Public ISD,HAWKINS ISD,92.2,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.173,0.2095,0.246,0.252,0.2495,0.2485,0.269,405,0.19563
wood,Public ISD,HAWKINS ISD,92.2,Kindergarten,total_infected_mean,1,1.3865,2.7635,4.374,5.7865,7.788,9.0005,10.7425,13.9275,23.558,405,5.24975
jones,Public ISD,HAWLEY ISD,96.1,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0.0145,0.0175,0.0275,0.029,0.0375,0.0375,171,0
jones,Public ISD,HAWLEY ISD,96.1,Kindergarten,total_infected_mean,1,1,1.468,1.784,1.988,2.118,2.1795,2.1925,2.316,2.3455,171,1.617573333
hays,Public ISD,HAYS CISD,96.6,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0.007,0.012,0.0125,0.02,0.0205,0.0215,901,0.012302
hays,Public ISD,HAYS CISD,96.6,Kindergarten,total_infected_mean,1,1,1.47,1.688,1.766,1.879,1.8615,1.953,2.047,2.0435,901,1.86843
robertson,Public ISD,HEARNE ISD,97.6,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0.0005,0.001,0.001,0.004,0.0045,359,0
robertson,Public ISD,HEARNE ISD,97.6,Kindergarten,total_infected_mean,1,1,1.316,1.336,1.429,1.4965,1.4835,1.501,1.5385,1.606,359,1.376548
donley,Public ISD,HEDLEY ISD,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,95,0
donley,Public ISD,HEDLEY ISD,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,95,1
sabine,Public ISD,HEMPHILL ISD,96.6,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0.007,0.012,0.0125,0.02,0.0205,0.0215,262,0
sabine,Public ISD,HEMPHILL ISD,96.6,Kindergarten,total_infected_mean,1,1,1.47,1.688,1.766,1.879,1.8615,1.953,2.047,2.0435,262,1.691744
waller,Public ISD,HEMPSTEAD ISD,98.2,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0.0005,0,0.001,0,0,528,0
waller,Public ISD,HEMPSTEAD ISD,98.2,Kindergarten,total_infected_mean,1,1,1.138,1.2785,1.287,1.3665,1.345,1.35,1.3985,1.3795,528,1.295904
rusk,Public ISD,HENDERSON ISD,93.9,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0755,0.1125,0.118,0.1175,0.144,0.16,0.141,649,0.115778
rusk,Public ISD,HENDERSON ISD,93.9,Kindergarten,total_infected_mean,1,1.375,2.3355,3.1895,3.7275,4.001,4.212,4.988,6.1005,5.8895,649,3.890506
clay,Public ISD,HENRIETTA ISD,94.7,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0305,0.062,0.083,0.083,0.094,0.108,0.112,295,0.03617
clay,Public ISD,HENRIETTA ISD,94.7,Kindergarten,total_infected_mean,1,1.3885,1.972,2.533,2.8595,3.1325,3.0945,3.5955,3.912,4.3295,295,2.59177
deaf smith,Public ISD,HEREFORD ISD,99.3,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,495,0
deaf smith,Public ISD,HEREFORD ISD,99.3,Kindergarten,total_infected_mean,1,1,1,1.0585,1.086,1.1175,1.1085,1.113,1.1165,1.1195,495,1.08545
bexar,Public ISD,HERITAGE ACADEMY,85.7,Kindergarten,probability_exceeding_10_total_cases,0,0,0.454,0.535,0.5465,0.5575,0.542,0.5635,0.5945,0.5725,114,0.46156
bexar,Public ISD,HERITAGE ACADEMY,85.7,Kindergarten,total_infected_mean,1.6225,2.601,7.413,16.24,32.549,49.707,63.679,99.5605,174.9795,337.332,114,8.236853333
scurry,Public ISD,HERMLEIGH ISD,94.7,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0305,0.062,0.083,0.083,0.094,0.108,0.112,258,0.031508
scurry,Public ISD,HERMLEIGH ISD,94.7,Kindergarten,total_infected_mean,1,1.3885,1.972,2.533,2.8595,3.1325,3.0945,3.5955,3.912,4.3295,258,2.543448
hamilton,Public ISD,HICO ISD,97.7,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0.001,0.002,0.002,0.003,0.0025,313,0
hamilton,Public ISD,HICO ISD,97.7,Kindergarten,total_infected_mean,1,1,1.295,1.375,1.4105,1.517,1.479,1.538,1.495,1.4785,313,1.383946
hidalgo,Public ISD,HIDALGO ISD,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,486,0
hidalgo,Public ISD,HIDALGO ISD,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,486,1
nolan,Public ISD,HIGHLAND ISD,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,207,0
nolan,Public ISD,HIGHLAND ISD,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,207,1
dallas,Public ISD,HIGHLAND PARK ISD,90.7,Kindergarten,probability_exceeding_10_total_cases,0,0,0.0565,0.2965,0.3325,0.3385,0.348,0.3335,0.3435,0.359,793,0.340134
dallas,Public ISD,HIGHLAND PARK ISD,90.7,Kindergarten,total_infected_mean,1,1.914,3.822,6.5325,10.182,13.3285,16.5785,22.1805,34.313,66.772,793,13.8875
potter,Public ISD,HIGHLAND PARK ISD,94.3,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0395,0.104,0.0965,0.1045,0.123,0.104,0.1305,249,0
potter,Public ISD,HIGHLAND PARK ISD,94.3,Kindergarten,total_infected_mean,1,1.3835,1.985,2.654,3.4235,3.6235,3.7525,4.2045,4.017,5.5055,249,2.64954
hill,Public ISD,HILLSBORO ISD,93.8,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.06,0.106,0.1415,0.1405,0.147,0.156,0.1595,425,0.0922
hill,Public ISD,HILLSBORO ISD,93.8,Kindergarten,total_infected_mean,1,1.3765,2.35,3.0155,3.6365,4.321,4.5345,5.107,6.0885,6.7705,425,3.4502
galveston,Public ISD,HITCHCOCK ISD,96,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0005,0.012,0.02,0.0235,0.0335,0.0435,0.045,402,0.007492
galveston,Public ISD,HITCHCOCK ISD,96,Kindergarten,total_infected_mean,1,1,1.4835,1.847,2.057,2.1205,2.1945,2.325,2.437,2.447,402,1.97468
bell,Public ISD,HOLLAND ISD,89.8,Kindergarten,probability_exceeding_10_total_cases,0,0,0.141,0.3085,0.359,0.3815,0.356,0.3885,0.4,0.4025,215,0.269416667
bell,Public ISD,HOLLAND ISD,89.8,Kindergarten,total_infected_mean,1.625,1.906,4.3085,7.1055,11.7335,17.528,20.5205,32.0535,52.9695,103.543,215,6.452866667
archer,Public ISD,HOLLIDAY ISD,97.4,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0.0025,0.002,0.0065,0.005,0.0085,373,0
archer,Public ISD,HOLLIDAY ISD,97.4,Kindergarten,total_infected_mean,1,1,1.3085,1.475,1.503,1.609,1.5615,1.6255,1.6295,1.665,373,1.488776
medina,Public ISD,HONDO ISD,99.2,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,431,0
medina,Public ISD,HONDO ISD,99.2,Kindergarten,total_infected_mean,1,1,1,1.065,1.0855,1.122,1.129,1.1215,1.118,1.142,431,1.079842
fannin,Public ISD,HONEY GROVE ISD,96.4,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0.006,0.0125,0.019,0.0195,0.0205,0.0315,217,0
fannin,Public ISD,HONEY GROVE ISD,96.4,Kindergarten,total_infected_mean,1,1,1.482,1.6955,1.9105,1.9345,2.01,2.0765,2.034,2.196,217,1.64853
bowie,Public ISD,HOOKS ISD,93.6,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.068,0.1245,0.134,0.161,0.1555,0.175,0.1955,304,0.080204
bowie,Public ISD,HOOKS ISD,93.6,Kindergarten,total_infected_mean,1,1.3855,2.377,3.056,3.8765,4.2015,5.132,5.5405,7.2115,8.9595,304,3.233228
hidalgo,Public ISD,HORIZON MONTESSORI PUBLIC SCHOOLS,96.6,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0.007,0.012,0.0125,0.02,0.0205,0.0215,291,0
hidalgo,Public ISD,HORIZON MONTESSORI PUBLIC SCHOOLS,96.6,Kindergarten,total_infected_mean,1,1,1.47,1.688,1.766,1.879,1.8615,1.953,2.047,2.0435,291,1.700792
harris,Public ISD,HOUSTON CLASSICAL CHARTER SCHOOL,92.9,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.1235,0.1695,0.198,0.2055,0.217,0.21,0.2165,342,0.140428
harris,Public ISD,HOUSTON CLASSICAL CHARTER SCHOOL,92.9,Kindergarten,total_infected_mean,1,1.3835,2.727,3.792,4.77,5.9465,6.7495,8.169,10.173,14.0315,342,4.151904
harris,Public ISD,HOUSTON ISD,93.5,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0945,0.141,0.1565,0.1445,0.156,0.1865,0.1815,646,0.150052
harris,Public ISD,HOUSTON ISD,93.5,Kindergarten,total_infected_mean,1,1.3975,2.3165,3.3715,4.112,4.909,4.7715,5.728,7.0105,8.3065,646,4.577448
grayson,Public ISD,HOWE ISD,96.2,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0005,0.012,0.02,0.0225,0.0225,0.035,0.031,316,0.003536
grayson,Public ISD,HOWE ISD,96.2,Kindergarten,total_infected_mean,1,1,1.491,1.7735,2.0235,2.1045,2.11,2.17,2.347,2.297,316,1.8395
bowie,Public ISD,HUBBARD ISD,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,64,0
bowie,Public ISD,HUBBARD ISD,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,64,1
hill,Public ISD,HUBBARD ISD,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,208,0
hill,Public ISD,HUBBARD ISD,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,208,1
erath,Public ISD,HUCKABAY ISD,81.8,Kindergarten,probability_exceeding_10_total_cases,0,0,0.613,0.646,0.6385,0.6645,0.641,0.6805,0.663,0.648,327,0.64369
erath,Public ISD,HUCKABAY ISD,81.8,Kindergarten,total_infected_mean,1.6085,3.322,11.3725,27.3165,53.2075,83.522,106.825,170.7405,277.363,542.763,327,35.290928
angelina,Public ISD,HUDSON ISD,93.1,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.1155,0.1755,0.182,0.1965,0.201,0.2065,0.2105,494,0.17406
angelina,Public ISD,HUDSON ISD,93.1,Kindergarten,total_infected_mean,1,1.3855,2.2845,3.642,4.77,5.486,6.2815,7.349,9.1065,12.3575,494,4.742928
harris,Public ISD,HUFFMAN ISD,95.8,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0.02,0.0355,0.039,0.041,0.047,0.0475,911,0.037754
harris,Public ISD,HUFFMAN ISD,95.8,Kindergarten,total_infected_mean,1,1.3825,1.7735,1.937,2.1,2.3515,2.3795,2.373,2.5195,2.621,911,2.369532
cass,Public ISD,HUGHES SPRINGS ISD,98.6,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,363,0
cass,Public ISD,HUGHES SPRINGS ISD,98.6,Kindergarten,total_infected_mean,1,1,1.141,1.1965,1.216,1.268,1.229,1.239,1.246,1.257,363,1.205314
liberty,Public ISD,HULL-DAISETTA ISD,82.8,Kindergarten,probability_exceeding_10_total_cases,0,0,0.5875,0.6005,0.6315,0.6435,0.621,0.6255,0.635,0.6505,143,0.591226667
liberty,Public ISD,HULL-DAISETTA ISD,82.8,Kindergarten,total_infected_mean,1.6315,3.3985,10.3685,23.214,48.942,74.436,96.258,145.054,245.6675,502.638,143,14.05087667
harris,Public ISD,HUMBLE ISD,95,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0195,0.0415,0.0745,0.073,0.0735,0.0805,0.0945,969,0.073186
harris,Public ISD,HUMBLE ISD,95,Kindergarten,total_infected_mean,1,1.3865,1.7315,2.3,2.54,3.0805,2.9855,3.1205,3.3895,3.846,969,2.99728
kerr,Public ISD,HUNT ISD,73.7,Kindergarten,probability_exceeding_10_total_cases,0,0,0.7655,0.771,0.7595,0.763,0.799,0.7765,0.761,0.7635,196,0.76902
kerr,Public ISD,HUNT ISD,73.7,Kindergarten,total_infected_mean,2.404,5.2185,20.364,49.9705,98.43,148.223,205.849,300.3875,490.7025,983.795,196,39.31216
angelina,Public ISD,HUNTINGTON ISD,86.4,Kindergarten,probability_exceeding_10_total_cases,0,0,0.4,0.4855,0.521,0.5245,0.5355,0.5195,0.5425,0.542,290,0.49118
angelina,Public ISD,HUNTINGTON ISD,86.4,Kindergarten,total_infected_mean,1.633,2.5165,6.517,13.588,28.138,42.21,58.0065,84.0095,146.307,291.538,290,15.916
walker,Public ISD,HUNTSVILLE ISD,94,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0505,0.104,0.1095,0.1255,0.1395,0.1345,0.136,1217,0.131576
walker,Public ISD,HUNTSVILLE ISD,94,Kindergarten,total_infected_mean,1,1.374,1.9975,2.7965,3.499,3.767,4.2425,4.7505,5.011,5.9965,1217,4.462972
tarrant,Public ISD,HURST-EULESS-BEDFORD ISD,95,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0195,0.0415,0.0745,0.073,0.0735,0.0805,0.0945,762,0.074428
tarrant,Public ISD,HURST-EULESS-BEDFORD ISD,95,Kindergarten,total_infected_mean,1,1.3865,1.7315,2.3,2.54,3.0805,2.9855,3.1205,3.3895,3.846,762,3.07594
williamson,Public ISD,HUTTO ISD,96.5,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0.007,0.014,0.0175,0.0205,0.0255,0.024,789,0.014546
williamson,Public ISD,HUTTO ISD,96.5,Kindergarten,total_infected_mean,1,1,1.4945,1.711,1.8505,1.939,2.036,2.021,2.0785,2.134,789,1.954132
tarrant,Private School,Harvest Christian Academy,81.8,Kindergarten,probability_exceeding_10_total_cases,0,0,0.613,0.646,0.6385,0.6645,0.641,0.6805,0.663,0.648,,0.6385
tarrant,Private School,Harvest Christian Academy,81.8,Kindergarten,total_infected_mean,1.6085,3.322,11.3725,27.3165,53.2075,83.522,106.825,170.7405,277.363,542.763,,53.2075
denton,Private School,Harvest Christian Academy - Lantana Camp,62.5,Kindergarten,probability_exceeding_10_total_cases,0,0.7465,0.846,0.8485,0.84,0.8505,0.843,0.8535,0.848,0.845,,0.84
denton,Private School,Harvest Christian Academy - Lantana Camp,62.5,Kindergarten,total_infected_mean,3.3985,8.3535,32.1525,79.61,157.5065,239.1525,315.1165,479.0205,792.857,1579.162,,157.5065
travis,Private School,Headwaters School,76.9,Kindergarten,probability_exceeding_10_total_cases,0,0,0.737,0.7215,0.7295,0.73,0.739,0.7395,0.7295,0.7455,,0.7295
travis,Private School,Headwaters School,76.9,Kindergarten,total_infected_mean,2.4195,4.219,17.2855,40.532,81.7865,122.7715,164.895,247.7725,406.981,831.526,,81.7865
rockwall,Private School,Heritage Christian Academy,69,Kindergarten,probability_exceeding_10_total_cases,0,0,0.7915,0.8055,0.802,0.799,0.804,0.8205,0.815,0.811,,0.802
rockwall,Private School,Heritage Christian Academy,69,Kindergarten,total_infected_mean,3.335,6.189,24.4605,62.41,123.1965,184.4905,246.863,377.996,625.7195,1245.2505,,123.1965
tarrant,Private School,Heritage Christian Academy,88.9,Kindergarten,probability_exceeding_10_total_cases,0,0,0.2165,0.3915,0.415,0.4405,0.431,0.4425,0.4405,0.429,,0.415
tarrant,Private School,Heritage Christian Academy,88.9,Kindergarten,total_infected_mean,1.6195,1.9185,4.833,9.0685,16.051,24.0665,30.1085,46.6675,75.002,145.121,,16.051
dallas,Private School,Highland Park Presbyterian Day School,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,0
dallas,Private School,Highland Park Presbyterian Day School,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
travis,Private School,Hill Country Christian School of Austin,98,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0.0015,0.0005,0.0025,,0
travis,Private School,Hill Country Christian School of Austin,98,Kindergarten,total_infected_mean,1,1,1.1265,1.2535,1.357,1.3905,1.3285,1.413,1.4305,1.4195,,1.357
kendall,Private School,Hill Country Montessori School,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,0
kendall,Private School,Hill Country Montessori School,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
johnson,Private School,Holy Cross Christian Academy,81.2,Kindergarten,probability_exceeding_10_total_cases,0,0,0.613,0.655,0.671,0.659,0.6655,0.6645,0.6705,0.6695,,0.671
johnson,Private School,Holy Cross Christian Academy,81.2,Kindergarten,total_infected_mean,1.618,3.3935,11.289,28.411,58.153,86.3015,116.084,173.346,291.848,583.332,,58.153
matagorda,Private School,Holy Cross School - Bay City,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,0
matagorda,Private School,Holy Cross School - Bay City,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
dallas,Private School,Holy Family Academy,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,0
dallas,Private School,Holy Family Academy,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
travis,Private School,Holy Family Catholic School Austin,98.2,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0.0005,0,0.001,0,0,,0
travis,Private School,Holy Family Catholic School Austin,98.2,Kindergarten,total_infected_mean,1,1,1.138,1.2785,1.287,1.3665,1.345,1.35,1.3985,1.3795,,1.287
tarrant,Private School,Holy Family Catholic School Fort Worth,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,0
tarrant,Private School,Holy Family Catholic School Fort Worth,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
harris,Private School,Holy Ghost Catholic School,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,0
harris,Private School,Holy Ghost Catholic School,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
bexar,Private School,Holy Name Catholic School,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,0
bexar,Private School,Holy Name Catholic School,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
fort bend,Private School,Holy Rosary Catholic School,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,0
fort bend,Private School,Holy Rosary Catholic School,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
bexar,Private School,Holy Spirit Catholic School - San Antoni,92.3,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.1695,0.213,0.2265,0.245,0.244,0.252,0.2545,,0.213
bexar,Private School,Holy Spirit Catholic School - San Antoni,92.3,Kindergarten,total_infected_mean,1,1.3775,2.707,4.2705,5.8965,7.0895,8.6015,10.614,14.1555,20.6645,,5.8965
dallas,Private School,Holy Trinity Academy,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,0
dallas,Private School,Holy Trinity Academy,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
dallas,Private School,Holy Trinity Catholic School - Dallas,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,0
dallas,Private School,Holy Trinity Catholic School - Dallas,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
tarrant,Private School,Holy Trinity Catholic School Grapevine,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,0
tarrant,Private School,Holy Trinity Catholic School Grapevine,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
harris,Private School,Humble Christian School,85,Kindergarten,probability_exceeding_10_total_cases,0,0,0.452,0.549,0.5635,0.5725,0.5725,0.5615,0.583,0.593,,0.5635
harris,Private School,Humble Christian School,85,Kindergarten,total_infected_mean,1.6085,2.5795,7.449,17.983,35.6575,55.0165,72.23,106.4715,183.761,375.704,,35.6575
travis,Private School,Hyde Park Schools,92.9,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.1235,0.1695,0.198,0.2055,0.217,0.21,0.2165,,0.1695
travis,Private School,Hyde Park Schools,92.9,Kindergarten,total_infected_mean,1,1.3835,2.727,3.792,4.77,5.9465,6.7495,8.169,10.173,14.0315,,4.77
dallas,Private School,IANT Quranic Academy,95.2,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.01,0.031,0.0605,0.065,0.0675,0.081,0.073,,0.031
dallas,Private School,IANT Quranic Academy,95.2,Kindergarten,total_infected_mean,1,1.382,1.6835,2.211,2.411,2.7375,2.8565,2.8735,3.2775,3.3385,,2.411
lubbock,Public ISD,IDALOU ISD,92.1,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.173,0.2245,0.2495,0.2435,0.253,0.266,0.25,331,0.189686
lubbock,Public ISD,IDALOU ISD,92.1,Kindergarten,total_infected_mean,1,1.3705,2.691,4.4455,6.2285,8.144,9.0445,11.3525,15.925,21.7895,331,5.023192
hidalgo,Public ISD,IDEA PUBLIC SCHOOLS,96.5,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0.007,0.014,0.0175,0.0205,0.0255,0.024,635,0.01078
hidalgo,Public ISD,IDEA PUBLIC SCHOOLS,96.5,Kindergarten,total_infected_mean,1,1,1.4945,1.711,1.8505,1.939,2.036,2.021,2.0785,2.134,635,1.89829
jackson,Public ISD,INDUSTRIAL ISD,96.2,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0005,0.012,0.02,0.0225,0.0225,0.035,0.031,289,0.002294
jackson,Public ISD,INDUSTRIAL ISD,96.2,Kindergarten,total_infected_mean,1,1,1.491,1.7735,2.0235,2.1045,2.11,2.17,2.347,2.297,289,1.8125
san patricio,Public ISD,INGLESIDE ISD,94.7,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0305,0.062,0.083,0.083,0.094,0.108,0.112,517,0.063428
san patricio,Public ISD,INGLESIDE ISD,94.7,Kindergarten,total_infected_mean,1,1.3885,1.972,2.533,2.8595,3.1325,3.0945,3.5955,3.912,4.3295,517,2.878064
kerr,Public ISD,INGRAM ISD,94.4,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.028,0.0835,0.106,0.1075,0.12,0.1165,0.1245,450,0.0724
kerr,Public ISD,INGRAM ISD,94.4,Kindergarten,total_infected_mean,1,1.3965,1.9825,2.523,3.0385,3.549,3.722,4.2335,4.5625,4.94,450,2.9354
bexar,Public ISD,INSPIRE ACADEMIES,95.7,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0025,0.025,0.0485,0.041,0.046,0.059,0.0595,118,0
bexar,Public ISD,INSPIRE ACADEMIES,95.7,Kindergarten,total_infected_mean,1,1.4025,1.746,2.003,2.1955,2.5455,2.458,2.624,2.717,2.673,118,1.77684
dallas,Public ISD,INSPIRED VISION ACADEMY,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,568,0
dallas,Public ISD,INSPIRED VISION ACADEMY,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,568,1
grimes,Public ISD,IOLA ISD,85.4,Kindergarten,probability_exceeding_10_total_cases,0,0,0.443,0.526,0.555,0.5615,0.551,0.552,0.5795,0.582,313,0.533308
grimes,Public ISD,IOLA ISD,85.4,Kindergarten,total_infected_mean,1.6265,2.5395,7.3795,16.907,33.6855,51.502,66.665,100.8755,175.6555,355.097,313,21.135182
wichita,Public ISD,IOWA PARK CISD,98.7,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,400,0
wichita,Public ISD,IOWA PARK CISD,98.7,Kindergarten,total_infected_mean,1,1,1.129,1.2105,1.1945,1.2015,1.229,1.2315,1.25,1.259,400,1.2009
scurry,Public ISD,IRA ISD,94.7,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0305,0.062,0.083,0.083,0.094,0.108,0.112,284,0.034784
