County,NAME
COLLIN,GUIDEPOST MONTESSORI AT ELDORADO
DENTON,GUIDEPOST MONTESSORI TIMBER RIDGE
HARRIS,HARBOR CHRISTIAN ACADEMY
TRAVIS,HARBOR LEADERSHIP ACADEMY
TARRANT,HARVEST CHRISTIAN ACADEMY
TRAVIS,HAWTHORNE MONTESSORI SCHOOL
TRAVIS,HEADWATERS SCHOOL
BEXAR,HEALY-MURPHY CENTER
ROCKWALL,HERITAGE CHRISTIAN ACADEMY
TARRANT,HERITAGE CHRISTIAN ACADEMY
ROCKWALL,HERITAGE CHRISTIAN ACADEMY ROCKWALL
COLLIN,HERITAGE MONTESSORI OF MURPHY
GILLESPIE,HERITAGE SCHOOL
DALLAS,HIGHER HEIGHTS PRIVATE SCHOOL
DALLAS,HIGHLAND PARK PRESBYTERIAN DAY SCHOOL
DALLAS,HIGHLANDER SCHOOL
WILLIAMSON,HILL COUNTRY CHRISTIAN SCHOOL OF AUSTIN
KENDALL,HILL COUNTRY MONTESSORI SCHOOL
TARRANT,HILL SCHOOL OF FORT WORTH
MIDLAND,HILLANDER SCHOOL
MIDLAND,HILLCREST SCHOOL
BRAZORIA,HOLY COMFORTER DAY SCHOOL
DENTON,HOLY COVENANT EARLY CHILDHOOD DEVELOPMENT PROGRAM
RANDALL,HOLY CROSS CATHOLIC ACADEMY
MIDLAND,HOLY CROSS CATHOLIC HIGH SCHOOL
JOHNSON,HOLY CROSS CHRISTIAN ACADEMY
MATAGORDA,HOLY CROSS SCHOOL - BAY CITY
DALLAS,HOLY FAMILY CATHOLIC ACADEMY
GALVESTON,HOLY FAMILY CATHOLIC SCHOOL
TARRANT,HOLY FAMILY CATHOLIC SCHOOL
WILLIAMSON,HOLY FAMILY CATHOLIC SCHOOL
HARRIS,HOLY GHOST CATHOLIC SCHOOL
BEXAR,HOLY NAME CATHOLIC SCHOOL
FORT BEND,HOLY ROSARY CATHOLIC SCHOOL
BEXAR,HOLY SPIRIT CATHOLIC SCHOOL
HARRIS,HOLY SPIRIT EPISCOPAL SCHOOL - HOUSTON
DALLAS,HOLY TRINITY ACADEMY
BELL,HOLY TRINITY CATHOLIC HIGH SCHOOL
DALLAS,HOLY TRINITY CATHOLIC SCHOOL
TARRANT,HOLY TRINITY CATHOLIC SCHOOL
HARRIS,HOLY TRINITY EPISCOPAL SCHOOL OF GREATER HOUSTON
HARRIS,HOLY TRINITY UMC DAY SCHOOL/DAYCARE
TRAVIS,HOPE CHILDREN'S CENTER
BLANCO,HOPE SCHOOL
HARRIS,HOUSTON ADVENTIST ACADMEY
HARRIS,HOUSTON CHRISTIAN HIGH SCHOOL
HARRIS,HOUSTON PEACE ACADEMY
HARRIS,HOUSTON QURAN ACADEMY
HARRIS,HUA XIA CHINESE SCHOOL
HARRIS,HUMBLE CHRISTIAN SCHOOL
TRAVIS,HUNTINGTON-SURREY HIGH SCHOOL
TRAVIS,HYDE PARK MONTESSORI
TRAVIS,HYDE PARK SCHOOL
TRAVIS,HYDE PARK SCHOOLS
DALLAS,I A N T QURANIC ACADEMY
HARRIS,ILM ACADEMY
DENTON,IMMACULATE CONCEPTION CATHOLIC SCHOOL
DALLAS,IMMACULATE CONCEPTION SCHOOL
EL PASO,IMMANUEL CHRISTIAN SCHOOL
HIDALGO,IMMANUEL LUTHERAN SCHOOL
LEE,IMMANUEL LUTHERAN SCHOOL
BEXAR,IMMERSION MONTESSORI ACADEMY
CAMERON,IN THE PRESENCE OF GOD CORAM DEO CLASSICAL ACADEMY
HARRIS,INCARNATE WORD ACADEMY
NUECES,INCARNATE WORD ACADEMY-ELEM LEVEL
BEXAR,INCARNATE WORD HIGH SCHOOL
TRAVIS,INTERNATIONAL SCHOOL OF TEXAS
SMITH,ISLAMIC FAITH ACADEMY
DALLAS,ISLAMIC SCHOOL OF IRVING
HARRIS,JAPANESE EDUCATIONAL INSTITUTE
MARION,JEFFERSON CHRISTIAN ACADEMY
DALLAS,JESUIT COLLEGE PREP SCHOOL
EL PASO,JESUS CHAPEL SCHOOL
NUECES,JEWISH COMMUNITY PRESCHOOL
COMAL,JOHN PAUL II CATHOLIC HIGH SCHOOL
WEBB,JOHNSONS DAYCARE AND LEARNING CENTER
TRAVIS,JORDAN INTERNATIONAL MONTESSORI SCHOOL
MONTGOMERY,JOSHUA 1:9 LEARNING CENTER
JOHNSON,JOSHUA ADVENTIST MULTIGRADE SCHOOL
JOHNSON,JOSHUA CHRISTIAN ACADEMY
WILLIAMSON,JOY PARK MONTESSORI EDUCATION CHILDREN'S HOUSE
TOM GREEN,JOY SCHOOL
MONTGOMERY,JOYFUL SOUND CHRISTIAN ACADEMY
HIDALGO,JUAN DIEGO ACADEMY
HARRIS,KARDIA CHRISTIAN ACADEMY
HARRIS,KATY ADVENTIST CHRISTIAN SCHOOL
HARRIS,KATY GT ACADEMY
HARRIS,KATY MONTESSORI SCHOOL
KAUFMAN,KAUFMAN CHRISTIAN SCHOOL
TAYLOR,KENLEY SCHOOL
CAMERON,KENMONT MONTESSORI SCHOOL
BEXAR,KEYSTONE SCHOOL
FORT BEND,KIDDIE ACADEMY OF MISSOURI CITY TEXAS
