County,Grade_range,School_enroll_2023,School_Type,District_ISD,District_enroll_2023,School_name,geometry
DALLAS,EE-08,435,Elementary School,A W BROWN LEADERSHIP ACADEMY,778,QUEST CAMPUS PRE-K THRU 8,"c(-96.881589, 32.6778390000001)"
DALLAS,PK-05,343,Elementary School,A W BROWN LEADERSHIP ACADEMY,778,GENESIS CAMPUS PRE-K THRU 5,"c(-96.881589, 32.6778390000001)"
DALLAS,PK-06,897,Elementary School,A+ ACADEMY,1649,A+ ACADEMY EL,"c(-96.6451995, 32.6929500000001)"
DALLAS,07-12,752,High School,A+ ACADEMY,1649,A+ SECONDARY SCHOOL,"c(-96.6506985, 32.7062340000001)"
HARRIS,06-08,150,Middle School,A+ UNLIMITED POTENTIAL,150,A+ UNLIMITED POTENTIAL - UNIVERSITY,"c(-95.3653995, 29.742381)"
HILL,EE-12,284,Elementary/Secondary,ABBOTT ISD,284,ABBOTT SCHOOL,"c(-97.07688, 31.883202)"
HALE,06-12,5,Elementary/Secondary,ABERNATHY ISD,812,ABERNATHY DAEP,"c(-101.713233918, 34.193344261)"
HALE,09-12,225,High School,ABERNATHY ISD,812,ABERNATHY H S,"c(-101.844419043, 33.8302575210001)"
HALE,EE-05,412,Elementary School,ABERNATHY ISD,812,ABERNATHY EL,"c(-101.844419043, 33.8302575210001)"
HALE,06-08,170,Middle School,ABERNATHY ISD,812,ABERNATHY MIDDLE,"c(-101.844419043, 33.8302575210001)"
TAYLOR,09-12,1596,High School,ABILENE ISD,14652,COOPER H S,"c(-99.7497135, 32.4061110000001)"
TAYLOR,06-12,149,Elementary/Secondary,ABILENE ISD,14652,WOODSON CENTER FOR EXCELLENCE,"c(-99.7172235, 32.4521820000001)"
TAYLOR,09-12,1903,High School,ABILENE ISD,14652,ABILENE H S,"c(-99.7557839999999, 32.457141)"
TAYLOR,04-12,8,Elementary/Secondary,ABILENE ISD,14652,TAYLOR COUNTY LEARNING CENTER,"c(-99.7460775, 32.489424)"
TAYLOR,06-08,778,Middle School,ABILENE ISD,14652,MADISON MIDDLE,"c(-99.75843, 32.413302)"
TAYLOR,06-08,759,Middle School,ABILENE ISD,14652,MANN MIDDLE,"c(-99.76257, 32.4803880000001)"
TAYLOR,KG-12,96,Elementary/Secondary,ABILENE ISD,14652,DAEP,"c(-99.7303365, 32.4398160000001)"
TAYLOR,06-08,740,Middle School,ABILENE ISD,14652,CLACK MIDDLE,"c(-99.7970175, 32.4274590000001)"
TAYLOR,04-12,14,Elementary/Secondary,ABILENE ISD,14652,JUVENILE DETENTION CENTER,"c(-99.733311, 32.4182700000001)"
TAYLOR,EE KG-05,478,Elementary School,ABILENE ISD,14652,BONHAM EL,"c(-99.7774155, 32.44293)"
TAYLOR,EE KG-05,699,Elementary School,ABILENE ISD,14652,AUSTIN EL,"c(-99.7736535, 32.420331)"
TAYLOR,EE KG-05,592,Elementary School,ABILENE ISD,14652,DYESS EL,"c(-99.826382734, 32.426659585)"
TAYLOR,EE KG-05,478,Elementary School,ABILENE ISD,14652,BOWIE EL,"c(-99.7436069999999, 32.423868)"
TAYLOR,06-08,757,Middle School,ABILENE ISD,14652,CRAIG MIDDLE,"c(-99.7079444999999, 32.441355)"
TAYLOR,EE,132,Elementary School,ABILENE ISD,14652,CROCKETT EARLY HEADSTART,"c(-99.7628715, 32.434938)"
TAYLOR,EE KG-05,395,Elementary School,ABILENE ISD,14652,ALCORTA EL,"c(-99.755433, 32.4132750000001)"
TAYLOR,EE KG-05,594,Elementary School,ABILENE ISD,14652,PURCELL EL,"c(-99.7681185, 32.4642870000001)"
TAYLOR,EE KG-05,458,Elementary School,ABILENE ISD,14652,STAFFORD EL,"c(-99.7802505, 32.462973)"
TAYLOR,EE KG-05,389,Elementary School,ABILENE ISD,14652,THOMAS EL,"c(-99.718758, 32.4340560000001)"
TAYLOR,EE KG-05,473,Elementary School,ABILENE ISD,14652,WARD EL,"c(-99.7716465, 32.3991)"
TAYLOR,EE KG-05,447,Elementary School,ABILENE ISD,14652,ORTIZ EL,"c(-99.75312, 32.480064)"
TAYLOR,PK-12,7,Elementary/Secondary,ABILENE ISD,14652,OCEANS BEHAVIORAL HEALTH,"c(-99.739143, 32.3999370000001)"
TAYLOR,EE KG-05,640,Elementary School,ABILENE ISD,14652,TAYLOR EL,"c(-99.695241, 32.4583650000001)"
TAYLOR,EE-PK,751,Elementary School,ABILENE ISD,14652,LONG EARLY LEARNING CENTER,"c(-99.7674975, 32.477562)"
TAYLOR,EE KG-05,391,Elementary School,ABILENE ISD,14652,MARTINEZ EL,"c(-99.7435665, 32.464215)"
TAYLOR,EE KG-05,542,Elementary School,ABILENE ISD,14652,BASSETTI EL,"c(-99.797292, 32.412447)"
DALLAS,03-12,213,Elementary/Secondary,ACADEMY FOR ACADEMIC EXCELLENCE,343,DALLAS COUNTY JUVENILE JUSTICE,"c(-96.8667337749999, 32.769485343)"
DALLAS,09-11,5,High School,ACADEMY FOR ACADEMIC EXCELLENCE,343,DRC CAMPUS,"c(-96.868791, 32.7720870000001)"
DALLAS,07-12,87,High School,ACADEMY FOR ACADEMIC EXCELLENCE,343,MEDLOCK YOUTH VILLAGE,"c(-96.705369, 32.6664270000001)"
DALLAS,07-12,38,High School,ACADEMY FOR ACADEMIC EXCELLENCE,343,LETOT CAMPUS,"c(-96.8808735, 32.8675410000001)"
BELL,01-05,702,Elementary School,ACADEMY ISD,1814,ACADEMY EL,"c(-97.349462536, 30.983286295)"
BELL,06-08,401,Middle School,ACADEMY ISD,1814,ACADEMY J H,"c(-97.349130841, 30.9832417110001)"
BELL,EE-KG,172,Elementary School,ACADEMY ISD,1814,ACADEMY EARLY CHILDHOOD CENTER,"c(-97.339257, 30.9838950000001)"
BELL,09-12,539,High School,ACADEMY ISD,1814,ACADEMY H S,"c(-97.3456424999999, 30.9828600000001)"
HARRIS,EE-08,830,Elementary School,ACADEMY OF ACCELERATED LEARNING INC,830,ACADEMY OF ACCELERATED LEARNING,"c(-95.311053, 29.668059)"
DALLAS,EE-08,354,Elementary School,ACADEMY OF DALLAS,354,ACADEMY OF DALLAS,"c(-96.836175, 32.7229380000001)"
HARRIS,07-08,27,Junior High School,ACCELERATED INTERMEDIATE ACADEMY,192,ACCELERATED INT CHARTER SCHOOL,"c(-95.484951, 29.636802)"
HARRIS,EE-06,165,Elementary School,ACCELERATED INTERMEDIATE ACADEMY,192,ACCELERATED INTERDISCIPLINARY ACAD,"c(-95.484951, 29.636802)"
OLDHAM,PK-12,117,Elementary/Secondary,ADRIAN ISD,117,ADRIAN SCHOOL,"c(-102.665007, 35.2755000000001)"
DALLAS,PK-12,971,Elementary/Secondary,ADVANTAGE ACADEMY,971,ADVANTAGE ACADEMY,"c(-97.0176555, 32.7119670000001)"
NUECES,06-12,222,Elementary/Secondary,AGUA DULCE ISD,391,AGUA DULCE H S,"c(-97.913936738, 27.784389296)"
NUECES,EE-05,169,Elementary School,AGUA DULCE ISD,391,AGUA DULCE EL,"c(-97.913936738, 27.784389296)"
BEXAR,09-12,1537,High School,ALAMO HEIGHTS ISD,4698,ALAMO HEIGHTS H S,"c(-98.466469468, 29.490668525)"
BEXAR,06-08,1101,Middle School,ALAMO HEIGHTS ISD,4698,ALAMO HEIGHTS J H,"c(-98.4600405, 29.5013880000001)"
BEXAR,01-05,773,Elementary School,ALAMO HEIGHTS ISD,4698,CAMBRIDGE EL,"c(-98.466606, 29.4801570000001)"
BEXAR,01-05,873,Elementary School,ALAMO HEIGHTS ISD,4698,WOODRIDGE EL,"c(-98.45415, 29.503116)"
WOOD,EE-05,396,Elementary School,ALBA-GOLDEN ISD,834,ALBA-GOLDEN EL,"c(-95.5862324999999, 32.759199)"
WOOD,06-12,438,Elementary/Secondary,ALBA-GOLDEN ISD,834,ALBA-GOLDEN H S,"c(-95.5862324999999, 32.759199)"
SHACKELFORD,EE-06,260,Elementary School,ALBANY ISD,496,NANCY SMITH EL,"c(-99.2918114999999, 32.7327030000001)"
SHACKELFORD,07-12,236,High School,ALBANY ISD,496,ALBANY JR-SR H S,"c(-99.2869418939999, 32.724653704)"
HARRIS,09-12,2564,High School,ALDINE ISD,57844,ALDINE H S,"c(-95.409081, 29.9178000000001)"
HARRIS,09-12,2483,High School,ALDINE ISD,57844,EISENHOWER H S,"c(-95.4713565, 29.8819710000001)"
HARRIS,09-12,747,High School,ALDINE ISD,57844,CARVER H S FOR APPLIED TECH/ENGINEERING/ARTS,"c(-95.4445904999999, 29.871585)"
HARRIS,09-12,3264,High School,ALDINE ISD,57844,DAVIS H S ALDINE,"c(-95.4331065, 29.954592)"
HARRIS,09-12,2752,High School,ALDINE ISD,57844,NIMITZ H S,"c(-95.39028, 30.004893)"
HARRIS,09-12,416,High School,ALDINE ISD,57844,VICTORY EARLY COLLEGE H S,"c(-95.466042, 29.8681020000001)"
HARRIS,09-12,3573,High School,ALDINE ISD,57844,MACARTHUR H S,"c(-95.3288909999999, 29.9013390000001)"
HARRIS,06-12,310,Elementary/Secondary,ALDINE ISD,57844,YOUNG WOMENS LEADERSHIP ACADEMY,"c(-95.40045, 30.0128490000001)"
HARRIS,08-12,186,High School,ALDINE ISD,57844,HALL SUCCESS ACADEMY,"c(-95.355135, 29.935908)"
HARRIS,09-12,340,High School,ALDINE ISD,57844,LA PROMESA,"c(-95.409081, 29.9178000000001)"
HARRIS,07-08,369,Junior High School,ALDINE ISD,57844,DREW ACADEMY,"c(-95.440356, 29.864493)"
HARRIS,06-08,907,Middle School,ALDINE ISD,57844,STOVALL MIDDLE,"c(-95.407506, 29.9186280000001)"
HARRIS,06-08,742,Middle School,ALDINE ISD,57844,ALDINE MIDDLE,"c(-95.356061771, 29.933818828)"
HARRIS,06-08,980,Middle School,ALDINE ISD,57844,TEAGUE MIDDLE,"c(-95.3601345, 30.024162)"
HARRIS,06-08,642,Middle School,ALDINE ISD,57844,HOFFMAN MIDDLE,"c(-95.47704, 29.862603)"
HARRIS,06-08,929,Middle School,ALDINE ISD,57844,SHOTWELL MIDDLE,"c(-95.482287, 29.9286450000001)"
HARRIS,06-08,939,Middle School,ALDINE ISD,57844,HAMBRICK MIDDLE,"c(-95.3249355, 29.9017620000001)"
HARRIS,09-12,421,High School,ALDINE ISD,57844,AVALOS P-TECH SCHOOL,"c(-95.3459099999999, 29.9011770000001)"
HARRIS,06-08,985,Middle School,ALDINE ISD,57844,LEWIS MIDDLE,"c(-95.4097649999999, 30.0164040000001)"
HARRIS,06-08,1206,Middle School,ALDINE ISD,57844,JONES MIDDLE,"c(-95.251017165, 30.009299728)"
HARRIS,06-08,860,Middle School,ALDINE ISD,57844,PLUMMER MIDDLE,"c(-95.4388754999999, 29.9479860000001)"
HARRIS,06-08,965,Middle School,ALDINE ISD,57844,GARCIA MIDDLE,"c(-95.443660732, 29.8941669920001)"
HARRIS,06-08,960,Middle School,ALDINE ISD,57844,MEAD MIDDLE,"c(-95.3395785, 29.911347)"
HARRIS,05-06,390,Middle School,ALDINE ISD,57844,HOUSTON ACADEMY,"c(-95.4482624999999, 29.8746630000001)"
HARRIS,06-08,1096,Middle School,ALDINE ISD,57844,GRANTHAM ACADEMY,"c(-95.3621909999999, 29.906865)"
HARRIS,01-04,627,Elementary School,ALDINE ISD,57844,ANDERSON ACADEMY,"c(-95.430465, 29.86875)"
HARRIS,01-08,221,Elementary School,ALDINE ISD,57844,IMPACT LEADERSHIP ACADEMY,"c(-95.467923, 29.9182950000001)"
HARRIS,01-05,403,Elementary School,ALDINE ISD,57844,GOODMAN EL,"c(-95.424021, 29.8972170000001)"
HARRIS,PK-KG,377,Elementary School,ALDINE ISD,57844,REECE ACADEMY,"c(-95.444172, 29.873412)"
HARRIS,01-05,612,Elementary School,ALDINE ISD,57844,CARROLL EL,"c(-95.4038295, 29.8878030000001)"
HARRIS,01-05,697,Elementary School,ALDINE ISD,57844,CARTER ACADEMY,"c(-95.4659745, 29.9183580000001)"
HARRIS,01-05,800,Elementary School,ALDINE ISD,57844,FRANCIS EL,"c(-95.287428, 29.953359)"
HARRIS,01-05,396,Elementary School,ALDINE ISD,57844,OLESON EL,"c(-95.3244585, 29.9047860000001)"
HARRIS,EE KG-12,97,Elementary/Secondary,ALDINE ISD,57844,LANE SCHOOL,"c(-95.3545005, 29.932398)"
HARRIS,01-05,469,Elementary School,ALDINE ISD,57844,WORSHAM EL,"c(-95.3406404999999, 29.8855080000001)"
HARRIS,01-05,539,Elementary School,ALDINE ISD,57844,ORANGE GROVE EL,"c(-95.3266095, 29.890206)"
HARRIS,01-05,374,Elementary School,ALDINE ISD,57844,RAYMOND EL,"c(-95.3612189999999, 29.9103840000001)"
HARRIS,01-05,342,Elementary School,ALDINE ISD,57844,ODOM EL,"c(-95.383449, 29.9141100000001)"
HARRIS,01-05,531,Elementary School,ALDINE ISD,57844,SMITH EL,"c(-95.4751229999999, 29.8625940000001)"
HARRIS,01-05,458,Elementary School,ALDINE ISD,57844,THOMPSON EL,"c(-95.4017009999999, 29.9222730000001)"
HARRIS,01-05,571,Elementary School,ALDINE ISD,57844,JOHNSON EL,"c(-95.3026515, 29.9209050000001)"
HARRIS,01-05,338,Elementary School,ALDINE ISD,57844,SAMMONS EL,"c(-95.4498015, 29.921139)"
HARRIS,01-05,581,Elementary School,ALDINE ISD,57844,CARMICHAEL EL,"c(-95.488236, 29.9286540000001)"
HARRIS,01-05,461,Elementary School,ALDINE ISD,57844,ERMEL EL,"c(-95.4966464999999, 29.885301)"
HARRIS,01-05,336,Elementary School,ALDINE ISD,57844,CONLEY EL,"c(-95.4716984999999, 29.9457090000001)"
HARRIS,01-05,801,Elementary School,ALDINE ISD,57844,DUNN EL,"c(-95.3941995, 30.0029940000001)"
HARRIS,01-05,427,Elementary School,ALDINE ISD,57844,CALVERT EL,"c(-95.3622809999999, 29.947734)"
HARRIS,01-05,508,Elementary School,ALDINE ISD,57844,STEPHENS EL,"c(-95.3479619999999, 29.9015010000001)"
HARRIS,01-05,556,Elementary School,ALDINE ISD,57844,KUJAWA EL,"c(-95.493141, 29.9234520000001)"
HARRIS,01-05,466,Elementary School,ALDINE ISD,57844,HARRIS EL,"c(-95.4542385, 29.8679670000001)"
HARRIS,01-05,525,Elementary School,ALDINE ISD,57844,BLACK EL,"c(-95.4044685, 29.929536)"
HARRIS,01-05,663,Elementary School,ALDINE ISD,57844,SPENCE EL,"c(-95.4402165, 29.9471760000001)"
HARRIS,01-05,474,Elementary School,ALDINE ISD,57844,BUSSEY EL,"c(-95.4091979999999, 29.9231730000001)"
HARRIS,01-05,497,Elementary School,ALDINE ISD,57844,ECKERT EL,"c(-95.3629784999999, 29.933946)"
HARRIS,01-05,737,Elementary School,ALDINE ISD,57844,CYPRESSWOOD EL,"c(-95.32152, 30.0244680000001)"
HARRIS,01-05,723,Elementary School,ALDINE ISD,57844,JONES EL,"c(-95.305194, 30.01311)"
HARRIS,01-05,729,Elementary School,ALDINE ISD,57844,GREENSPOINT EL,"c(-95.3991895789999, 29.959855852)"
HARRIS,01-05,542,Elementary School,ALDINE ISD,57844,CARAWAY EL,"c(-95.456313, 29.8791000000001)"
HARRIS,01-05,664,Elementary School,ALDINE ISD,57844,REED ACADEMY,"c(-95.3608725, 29.912022)"
HARRIS,01-05,605,Elementary School,ALDINE ISD,57844,MARCELLA EL,"c(-95.3949105, 29.9350260000001)"
HARRIS,01-05,595,Elementary School,ALDINE ISD,57844,OGDEN EL,"c(-95.3642609999999, 30.0267720000001)"
HARRIS,01-05,780,Elementary School,ALDINE ISD,57844,ESCAMILLA EL,"c(-95.312835, 29.892186)"
HARRIS,01-05,446,Elementary School,ALDINE ISD,57844,HILL EL,"c(-95.451858, 29.8931400000001)"
HARRIS,EE-KG,531,Elementary School,ALDINE ISD,57844,HINOJOSA EC/PK/K,"c(-95.3593514999999, 29.9121030000001)"
HARRIS,EE-KG,518,Elementary School,ALDINE ISD,57844,VINES EC/PK/K,"c(-95.4538605, 29.8659960000001)"
HARRIS,EE-KG,592,Elementary School,ALDINE ISD,57844,KEEBLE EC/PK/K,"c(-95.396643, 29.888649)"
HARRIS,EE-KG,749,Elementary School,ALDINE ISD,57844,GRIGGS EC/PK/K,"c(-95.3960322899999, 29.9590682960001)"
HARRIS,EE-KG,571,Elementary School,ALDINE ISD,57844,MAGRILL EC/PK/K,"c(-95.359896, 30.023586)"
HARRIS,EE-KG,635,Elementary School,ALDINE ISD,57844,KUJAWA EC/PK/K,"c(-95.4955485, 29.9244420000001)"
HARRIS,EE-KG,603,Elementary School,ALDINE ISD,57844,VARDEMAN EC/PK/K,"c(-95.3394435, 29.9078730000001)"
HARRIS,EE-KG,747,Elementary School,ALDINE ISD,57844,JONES EC/PK/K,"c(-95.3043704999999, 30.0136590000001)"
HARRIS,EE-KG,548,Elementary School,ALDINE ISD,57844,DE SANTIAGO EC/PK/K,"c(-95.3644184999999, 29.9336040000001)"
HARRIS,EE-KG,518,Elementary School,ALDINE ISD,57844,STOVALL EC/PK/K,"c(-95.4562319999999, 29.8806030000001)"
HARRIS,EE-KG,590,Elementary School,ALDINE ISD,57844,GARCIA-LEZA EC/PK/K,"c(-95.3124818319999, 29.891109296)"
PARKER,06-08,955,Middle School,ALEDO ISD,8161,ALEDO MIDDLE,"c(-97.602673146, 32.6912393970001)"
PARKER,09-12,1660,High School,ALEDO ISD,8161,ALEDO H S,"c(-97.616394, 32.712543)"
PARKER,09,618,High School,ALEDO ISD,8161,DON R DANIEL NINTH GRADE CAMPUS,"c(-97.6141934999999, 32.7126240000001)"
PARKER,EE KG-05,587,Elementary School,ALEDO ISD,8161,CODER EL,"c(-97.6150665, 32.7168360000001)"
PARKER,06-08,928,Middle School,ALEDO ISD,8161,MCANALLY MIDDLE,"c(-97.573167056, 32.744621635)"
PARKER,EE KG-05,612,Elementary School,ALEDO ISD,8161,STUARD EL,"c(-97.647327, 32.6742300000001)"
PARKER,EE KG-05,633,Elementary School,ALEDO ISD,8161,MCCALL EL,"c(-97.62345, 32.7371220000001)"
PARKER,EE KG-05,672,Elementary School,ALEDO ISD,8161,VANDAGRIFF EL,"c(-97.6012419259999, 32.6839590930001)"
PARKER,EE KG-05,589,Elementary School,ALEDO ISD,8161,WALSH EL,"c(-97.567803, 32.733549)"
PARKER,EE-PK,149,Elementary School,ALEDO ISD,8161,EARLY CHILDHOOD ACADEMY,"c(-97.602705142, 32.6914330430001)"
JIM WELLS,09-12,1362,High School,ALICE ISD,4486,ALICE H S,"c(-98.0507295, 27.7551720000001)"
JIM WELLS,EE-05,542,Elementary School,ALICE ISD,4486,NOONAN EL,"c(-98.0846774999999, 27.753921)"
JIM WELLS,06-08,966,Middle School,ALICE ISD,4486,ADAMS MIDDLE,"c(-98.068005, 27.75519)"
JIM WELLS,EE-05,528,Elementary School,ALICE ISD,4486,SAENZ EL,"c(-98.082506026, 27.7433793640001)"
JIM WELLS,EE-05,563,Elementary School,ALICE ISD,4486,SCHALLERT EL,"c(-98.067185605, 27.7617644690001)"
JIM WELLS,EE-05,525,Elementary School,ALICE ISD,4486,DUBOSE EL,"c(-98.069997519, 27.762771968)"
HARRIS,09-12,3867,High School,ALIEF ISD,39474,HASTINGS H S,"c(-95.600403, 29.7090180000001)"
HARRIS,09-12,4119,High School,ALIEF ISD,39474,ELSIK H S,"c(-95.603157, 29.7095130000001)"
HARRIS,06-12,175,Elementary/Secondary,ALIEF ISD,39474,ALIEF LEARNING CTR (6-12),"c(-95.5823535, 29.7066780000001)"
HARRIS,09-12,2856,High School,ALIEF ISD,39474,TAYLOR H S,"c(-95.6317815, 29.695545)"
HARRIS,09-12,408,High School,ALIEF ISD,39474,ALIEF EARLY COLLEGE H S,"c(-95.574114, 29.73429)"
HARRIS,06-08,803,Middle School,ALIEF ISD,39474,ALIEF MIDDLE,"c(-95.5948815, 29.7086400000001)"
HARRIS,09-12,806,High School,ALIEF ISD,39474,KERR H S,"c(-95.634434955, 29.690931795)"
HARRIS,07-08,1029,Junior High School,ALIEF ISD,39474,OLLE MIDDLE,"c(-95.57586, 29.677329)"
HARRIS,07-08,769,Junior High School,ALIEF ISD,39474,KILLOUGH MIDDLE,"c(-95.6163015, 29.69442)"
HARRIS,07-08,999,Junior High School,ALIEF ISD,39474,ALBRIGHT MIDDLE,"c(-95.6533635, 29.706777)"
HARRIS,07-08,1221,Junior High School,ALIEF ISD,39474,O'DONNELL MIDDLE,"c(-95.6321369999999, 29.7104400000001)"
HARRIS,EE-04,528,Elementary School,ALIEF ISD,39474,BOONE EL,"c(-95.5786365, 29.676834)"
HARRIS,EE-04,704,Elementary School,ALIEF ISD,39474,MARTIN EL,"c(-95.585202, 29.692215)"
HARRIS,EE-05,680,Elementary School,ALIEF ISD,39474,YOUENS EL,"c(-95.5941435, 29.709072)"
HARRIS,07-08,724,Junior High School,ALIEF ISD,39474,HOLUB MIDDLE,"c(-95.6022839999999, 29.672019)"
HARRIS,EE-04,556,Elementary School,ALIEF ISD,39474,CHAMBERS EL,"c(-95.5665089999999, 29.6976060000001)"
HARRIS,EE-04,521,Elementary School,ALIEF ISD,39474,KENNEDY EL,"c(-95.6022839999999, 29.672019)"
HARRIS,EE-04,576,Elementary School,ALIEF ISD,39474,MAHANAY EL,"c(-95.615919, 29.709801)"
HARRIS,EE-04,633,Elementary School,ALIEF ISD,39474,SMITH EL,"c(-95.5780109999999, 29.662785)"
HARRIS,EE-04,548,Elementary School,ALIEF ISD,39474,LIESTMAN EL,"c(-95.615802, 29.693052)"
HARRIS,EE-05,693,Elementary School,ALIEF ISD,39474,CHANCELLOR EL,"c(-95.576337, 29.710359)"
HARRIS,EE-04,539,Elementary School,ALIEF ISD,39474,PETROSKY EL,"c(-95.6533635, 29.706777)"
HARRIS,EE-04,550,Elementary School,ALIEF ISD,39474,HEFLIN EL,"c(-95.618709, 29.722833)"
HARRIS,EE-04,555,Elementary School,ALIEF ISD,39474,REES EL,"c(-95.6744235, 29.712771)"
HARRIS,EE-04,528,Elementary School,ALIEF ISD,39474,LANDIS EL,"c(-95.5619055, 29.685843)"
HARRIS,EE-04,692,Elementary School,ALIEF ISD,39474,HEARNE EL,"c(-95.6325869999999, 29.707272)"
HARRIS,EE-04,544,Elementary School,ALIEF ISD,39474,CUMMINGS EL,"c(-95.585526, 29.663982)"
HARRIS,EE-04,976,Elementary School,ALIEF ISD,39474,SNEED EL,"c(-95.5439865, 29.7248220000001)"
HARRIS,EE-04,693,Elementary School,ALIEF ISD,39474,ALEXANDER EL,"c(-95.6079314999999, 29.686905)"
HARRIS,EE-04,872,Elementary School,ALIEF ISD,39474,OUTLEY EL,"c(-95.5985715, 29.7288540000001)"
HARRIS,EE-04,638,Elementary School,ALIEF ISD,39474,BEST EL,"c(-95.5519424999999, 29.6719200000001)"
HARRIS,EE-04,740,Elementary School,ALIEF ISD,39474,BUSH EL,"c(-95.5533195, 29.701467)"
HARRIS,EE-04,688,Elementary School,ALIEF ISD,39474,HICKS EL,"c(-95.627799, 29.6871120000001)"
HARRIS,EE-05,809,Elementary School,ALIEF ISD,39474,COLLINS EL,"c(-95.5549574999999, 29.7108270000001)"
HARRIS,EE-04,690,Elementary School,ALIEF ISD,39474,HORN EL,"c(-95.566941, 29.675619)"
HARRIS,PK,457,Elementary School,ALIEF ISD,39474,DEDRE' & ELLA JEFFERSON EARLY LEARNING CENTER,"c(-95.630664773, 29.7037838250001)"
HARRIS,EE-04,764,Elementary School,ALIEF ISD,39474,HOLMQUIST EL,"c(-95.6573999999999, 29.718558)"
HARRIS,PK,383,Elementary School,ALIEF ISD,39474,MARIA DEL CARMEN MARTINEZ EARLY LEARNING CENTER,"c(-95.569032864, 29.677476988)"
HARRIS,05-06,880,Middle School,ALIEF ISD,39474,YOUNGBLOOD INT,"c(-95.59917, 29.6874990000001)"
HARRIS,05-06,805,Middle School,ALIEF ISD,39474,KLENTZMAN INT,"c(-95.575239, 29.6622540000001)"
HARRIS,05-06,731,Middle School,ALIEF ISD,39474,OWENS INT,"c(-95.5686689999999, 29.7010080000001)"
HARRIS,05-06,791,Middle School,ALIEF ISD,39474,MATA INT,"c(-95.6023605, 29.6755020000001)"
HARRIS,05-06,780,Middle School,ALIEF ISD,39474,MILLER INT,"c(-95.65497, 29.717613)"
HARRIS,05-06,1134,Middle School,ALIEF ISD,39474,BUDEWIG INT,"c(-95.6040389999999, 29.73141)"
HARRIS,EE-08,384,Elementary School,ALIEF MONTESSORI COMMUNITY SCHOOL,384,ALIEF MONTESSORI COMMUNITY SCHOOL,"c(-95.590728, 29.7128880000001)"
COLLIN,10-12,5273,High School,ALLEN ISD,21370,ALLEN H S,"c(-96.660972, 33.109335)"
COLLIN,09,1693,High School,ALLEN ISD,21370,LOWERY FRESHMAN CENTER,"c(-96.6581642519999, 33.105408346)"
COLLIN,07-08,716,Junior High School,ALLEN ISD,21370,W E PETE FORD MIDDLE,"c(-96.656598, 33.0920370000001)"
COLLIN,07-08,1304,Junior High School,ALLEN ISD,21370,WALTER & LOIS CURTIS MIDDLE,"c(-96.6299895, 33.10668)"
COLLIN,07-08,1263,Junior High School,ALLEN ISD,21370,ERECKSON MIDDLE,"c(-96.707421, 33.0951600000001)"
COLLIN,EE-06,546,Elementary School,ALLEN ISD,21370,GENE M REED EL,"c(-96.6427245, 33.1075890000001)"
COLLIN,EE-06,618,Elementary School,ALLEN ISD,21370,ALVIS C STORY EL,"c(-96.629814, 33.0948000000001)"
COLLIN,EE-06,687,Elementary School,ALLEN ISD,21370,MAX O VAUGHAN EL,"c(-96.6573945, 33.082479)"
COLLIN,EE-06,651,Elementary School,ALLEN ISD,21370,FRANCES E NORTON EL,"c(-96.69294, 33.095151)"
COLLIN,EE-06,655,Elementary School,ALLEN ISD,21370,KERR EL,"c(-96.7018859999999, 33.1187400000001)"
COLLIN,EE-06,792,Elementary School,ALLEN ISD,21370,DR E T BOON EL,"c(-96.6927689999999, 33.112944)"
COLLIN,EE-06,568,Elementary School,ALLEN ISD,21370,FLOSSIE FLOYD GREEN EL,"c(-96.7014945, 33.107562)"
COLLIN,EE-06,622,Elementary School,ALLEN ISD,21370,BOLIN EL,"c(-96.6383595, 33.081174)"
COLLIN,EE-06,724,Elementary School,ALLEN ISD,21370,DAVID AND LYNDA OLSON EL,"c(-96.6242205, 33.1152750000001)"
COLLIN,EE-06,701,Elementary School,ALLEN ISD,21370,MARY EVANS EL,"c(-96.7234994999999, 33.116499)"
COLLIN,EE-06,671,Elementary School,ALLEN ISD,21370,BEVERLY CHEATHAM EL,"c(-96.687225, 33.122529)"
COLLIN,EE-06,693,Elementary School,ALLEN ISD,21370,JAMES AND MARGIE MARION EL,"c(-96.6406949999999, 33.1239870000001)"
COLLIN,KG-06,723,Elementary School,ALLEN ISD,21370,JENNY PRESTON EL,"c(-96.6676725, 33.1410240000001)"
COLLIN,EE-06,820,Elementary School,ALLEN ISD,21370,LOIS LINDSEY EL,"c(-96.690645, 33.153417)"
COLLIN,EE-PK,439,Elementary School,ALLEN ISD,21370,GEORGE J ANDERSON EARLY CHILDHOOD SCHOOL,"c(-96.6361725, 33.102873)"
COLLIN,EE-06,780,Elementary School,ALLEN ISD,21370,CARLENA CHANDLER EL,"c(-96.6229514999999, 33.0806880000001)"
BREWSTER,05-08,255,Middle School,ALPINE ISD,918,ALPINE MIDDLE,"c(-103.6768005, 30.358683)"
BREWSTER,09-12,303,High School,ALPINE ISD,918,ALPINE H S,"c(-103.665744, 30.371994)"
BREWSTER,EE-04,360,Elementary School,ALPINE ISD,918,ALPINE EL,"c(-103.6603215, 30.3585570000001)"
CHEROKEE,09-12,147,High School,ALTO ISD,504,ALTO H S,"c(-95.0736014999999, 31.6605510000001)"
CHEROKEE,05-08,156,Middle School,ALTO ISD,504,ALTO MIDDLE,"c(-95.0736014999999, 31.6605510000001)"
